iter	Passed	Remaining
146	297	1728
147	298	1719
148	299	1710
149	300	1703
150	301	1694
151	302	1685
152	305	1691
153	306	1686
154	308	1679
155	309	1672
156	310	1664
157	310	1657
158	311	1648
159	312	1642
160	313	1632
161	314	1624
162	314	1617
163	319	1628
164	321	1624
165	322	1618
166	322	1611
167	323	1603
168	324	1596
169	325	1588
170	326	1581
171	327	1574
172	327	1567
173	328	1560
174	329	1554
175	330	1548
176	334	1553
177	335	1549
178	336	1544
179	337	1537
180	338	1531
181	339	1525
182	340	1519
183	341	1513
184	342	1510
185	344	1505
186	345	1501
187	348	1506
188	350	1506
189	352	1501
190	353	1496
191	354	1490
192	355	1484
193	356	1482
194	358	1478
195	359	1473
196	360	1469
197	365	1481
198	368	1482
199	369	1478
200	371	1474
201	372	1470
202	373	1467
203	375	1463
204	377	1463
205	380	1466
206	381	1462
207	382	1457
208	383	1452
209	384	1448
210	385	1442
211	386	1437
212	387	1432
213	388	1426
214	389	1421
215	390	1416
216	396	1430
217	397	1425
218	398	1422
219	399	1417
220	400	1411
221	401	1406
222	402	1401
223	403	1397
224	404	1393
225	405	1388
226	406	1382
227	408	1383
228	409	1378
229	410	1374
230	411	1369
231	412	1365
232	413	1360
233	414	1356
234	415	1351
235	416	1347
236	417	1342
237	418	1338
238	422	1346
239	424	1344
240	425	1340
241	426	1336
242	427	1332
243	428	1328
244	429	1324
245	430	1319
246	431	1315
247	432	1310
248	433	1306
249	437	1311
250	438	1307
251	439	1303
252	440	1299
253	440	1294
254	441	1290
255	442	1286
256	443	1281
257	444	1278
258	445	1274
259	446	1270
260	447	1266
261	448	1263
262	452	1268
263	454	1266
264	455	1262
265	456	1258
266	457	1254
267	457	1250
268	458	1246
269	459	1242
270	460	1238
271	461	1234
272	463	1233
273	465	1232
274	466	1229
275	469	1230
276	471	1231
277	474	1233
278	476	1231
279	479	1231
280	480	1229
281	482	1228
282	488	1238
283	491	1238
284	492	1235
285	493	1232
286	494	1229
287	495	1225
288	498	1225
289	504	1235
290	505	1232
291	506	1228
292	507	1225
293	508	1221
294	509	1218
295	510	1214
296	511	1211
297	512	1207
298	513	1203
299	519	1212
300	521	1209
301	522	1206
302	522	1202
303	523	1198
304	524	1195
305	525	1191
306	526	1188
307	527	1185
308	528	1182
309	533	1186
310	534	1184
311	535	1181
312	536	1178
313	537	1174
314	538	1171
315	539	1167
316	540	1164
317	541	1161
318	542	1158
319	543	1155
320	549	1162
321	550	1159
322	551	1156
323	553	1155
324	554	1152
325	555	1148
326	556	1145
327	557	1141
328	558	1138
329	563	1144
330	565	1142
331	566	1139
332	566	1135
333	567	1132
334	568	1129
335	569	1125
336	570	1122
337	571	1120
338	572	1117
339	573	1114
340	579	1120
341	580	1117
342	581	1114
343	582	1111
344	583	1108
345	584	1105
346	585	1102
347	586	1099
348	587	1095
349	588	1092
350	589	1089
351	596	1097
352	597	1095
353	599	1093
354	600	1090
355	601	1087
356	602	1084
357	603	1081
358	604	1078
359	609	1084
360	611	1082
361	612	1079
362	613	1076
363	614	1073
364	615	1071
365	617	1068
366	617	1065
367	618	1062
368	619	1060
369	630	1073
370	631	1071
371	633	1068
372	633	1065
373	635	1063
374	641	1069
375	643	1067
376	644	1065
377	646	1063
378	647	1060
379	648	1057
380	649	1055
381	650	1052
382	657	1059
383	658	1057
384	660	1054
385	661	1051
386	661	1048
387	662	1045
388	663	1042
389	664	1039
390	665	1037
391	671	1041
392	672	1038
393	673	1036
394	674	1033
395	675	1030
396	676	1027
397	677	1024
398	678	1021
399	679	1019
400	680	1016
401	683	1016
402	685	1015
403	686	1013
404	687	1010
405	688	1007
406	689	1004
407	690	1002
408	691	999
409	692	996
410	693	994
411	695	991
412	696	989
413	698	988
414	699	986
415	700	983
416	701	980
417	702	978
418	703	975
419	705	973
420	707	973
421	715	980
422	717	979
423	719	977
424	720	974
425	721	972
426	731	981
427	732	979
428	734	977
429	735	975
430	737	972
431	738	970
432	745	976
433	747	974
434	748	972
435	750	971
436	753	970
437	767	984
438	802	1025
439	804	1024
440	807	1023
441	809	1021
442	810	1019
443	812	1016
444	813	1015
445	815	1012
446	821	1016
447	823	1014
448	824	1012
449	826	1010
450	827	1007
451	836	1014
452	837	1011
453	839	1009
454	840	1006
455	841	1004
456	843	1001
457	844	999
458	868	1023
